user_id,city,country,trip_purpose,party_type
U0135,New York,United States,Leisure,Family
U0284,New York,United States,Leisure,Couple
U0182,Barcelona,Spain,Business,Group
U0482,Berlin,Germany,Family,Family
U0102,Barcelona,Spain,Leisure,Couple
U0038,Berlin,Germany,Leisure,Group
U0443,Paris,France,Leisure,Couple
U0087,Boston,United States,Business,Group
U0138,Boston,United States,Leisure,Solo
U0240,Sydney,Australia,Leisure,Solo
U0446,New York,United States,Leisure,Couple
U0480,Singapore,Singapore,Family,Family
U0044,Sydney,Australia,Family,Family
U0028,Berlin,Germany,Business,Solo
U0174,Paris,France,Leisure,Group
U0032,Bangkok,Thailand,Business,Solo
U0425,Bangkok,Thailand,Family,Family
U0427,Boston,United States,Business,Group
U0195,Boston,United States,Family,Family
U0461,Sydney,Australia,Family,Family
U0167,Dubai,United Arab Emirates,Leisure,Couple
U0399,Barcelona,Spain,Business,Solo
U0178,Boston,United States,Family,Couple
U0024,Sydney,Australia,Leisure,Family
U0076,Berlin,Germany,Family,Couple
U0473,London,United Kingdom,Business,Solo
U0081,Barcelona,Spain,Business,Solo
U0412,Paris,France,Leisure,Couple
U0348,London,United Kingdom,Family,Couple
U0072,Paris,France,Leisure,Family
U0054,Berlin,Germany,Leisure,Family
U0259,Barcelona,Spain,Business,Solo
U0115,Barcelona,Spain,Leisure,Solo
U0078,New York,United States,Leisure,Solo
U0093,Paris,France,Business,Group
U0155,Dubai,United Arab Emirates,Family,Family
U0109,Paris,France,Leisure,Group
U0402,London,United Kingdom,Family,Family
U0176,Singapore,Singapore,Leisure,Solo
U0272,Singapore,Singapore,Leisure,Couple
U0258,Paris,France,Leisure,Solo
U0095,Barcelona,Spain,Leisure,Solo
U0201,Dubai,United Arab Emirates,Family,Family
U0359,Barcelona,Spain,Leisure,Family
U0129,New York,United States,Family,Family
U0160,Barcelona,Spain,Leisure,Family
U0417,Sydney,Australia,Leisure,Family
U0021,Berlin,Germany,Leisure,Couple
U0212,Berlin,Germany,Business,Group
U0459,Singapore,Singapore,Leisure,Couple
U0476,Sydney,Australia,Family,Family
U0286,Barcelona,Spain,Family,Family
U0439,Paris,France,Business,Solo
U0088,Boston,United States,Leisure,Family
U0147,Barcelona,Spain,Leisure,Family
U0192,Barcelona,Spain,Leisure,Family
U0094,Singapore,Singapore,Leisure,Family
U0411,Berlin,Germany,Business,Solo
U0035,Boston,United States,Business,Solo
U0209,New York,United States,Leisure,Group
U0296,London,United Kingdom,Leisure,Group
U0363,Dubai,United Arab Emirates,Family,Couple
U0117,Bangkok,Thailand,Family,Family
U0233,Sydney,Australia,Leisure,Solo
U0014,Barcelona,Spain,Family,Couple
U0450,Barcelona,Spain,Family,Family
U0350,New York,United States,Leisure,Family
U0219,Bangkok,Thailand,Leisure,Family
U0145,Paris,France,Business,Group
U0395,Barcelona,Spain,Business,Solo
U0287,Bangkok,Thailand,Leisure,Family
U0271,Barcelona,Spain,Leisure,Solo
U0022,New York,United States,Leisure,Solo
U0302,Paris,France,Leisure,Couple
U0185,Berlin,Germany,Business,Solo
